,pH,DO,Cond,Turb,Temp,NH4,NO3,ORP,COD,BOD,TSS,NH3_N,logDate,logTime
0,,,,,,,,,,,,,,0.0
1,,,,,,,,,,,,,,1.0
2,,,,,,,,,,,,,,2.0
3,,,,,,,,,,,,,,3.0
4,,,,,,,,,,,,,,4.0
5,,,,,,,,,,,,,,5.0
6,,,,,,,,,,,,,,6.0
7,,,,,,,,,,,,,,7.0
8,,,,,,,,,,,,,,8.0
9,,,,,,,,,,,,,,9.0
10,,,,,,,,,,,,,,10.0
11,,,,,,,,,,,,,,11.0
12,,,,,,,,,,,,,,12.0
13,,,,,,,,,,,,,,13.0
14,,,,,,,,,,,,,,14.0
15,,,,,,,,,,,,,,15.0
16,,,,,,,,,,,,,,16.0
17,,,,,,,,,,,,,,17.0
18,,,,,,,,,,,,,,18.0
19,,,,,,,,,,,,,,19.0
20,,,,,,,,,,,,,,20.0
21,,,,,,,,,,,,,,21.0
22,,,,,,,,,,,,,,22.0
23,,,,,,,,,,,,,,23.0
