TGL,DATE,TIME,pH,DO,COND,TURB,TEMP,NH4,BOD,TSS,COD,NO3
1/1/2022 3:00,1/1/2022,3:00,7.76,0.01,0.3,133.9,27.4,0.12,33.56,129.17,139.42,4.26
1/1/2022 4:00,1/1/2022,4:00,7.76,0.01,0.3,116.5,27.2,0.12,32.63,105.4,135.6,4.12
1/1/2022 5:00,1/1/2022,5:00,7.76,0,0.3,111.1,27.1,0.12,33.32,101.89,138.42,3.57
1/1/2022 6:00,1/1/2022,6:00,7.76,0.01,0.3,92.3,26.9,0.11,32.39,89.78,134.6,2.91
1/1/2022 7:00,1/1/2022,7:00,7.76,0,0.3,83.9,27,0.12,34.42,78.21,142.94,3.27
1/1/2022 8:00,1/1/2022,8:00,7.78,0,0.3,78.2,27.3,0.13,36.3,66.22,150.63,3.82
1/1/2022 9:00,1/1/2022,9:00,7.71,0,0.3,88.6,26.3,0.11,29.36,58.5,122.2,3.15
1/1/2022 10:00,1/1/2022,10:00,7.73,0,0.2,67.2,26.2,0.13,26.46,41.94,110.33,3.33
1/1/2022 11:00,1/1/2022,11:00,7.7,0,0.2,58.4,26.3,0.14,24.55,26.11,102.51,3.22
1/1/2022 12:00,1/1/2022,12:00,7.71,0,0.2,59.5,26.5,0.14,25.3,23.8,105.61,3.34
1/1/2022 13:00,1/1/2022,13:00,7.72,0,0.2,56.5,26.8,0.14,25,25.14,104.38,3.44
1/1/2022 14:00,1/1/2022,14:00,7.7,0,0.2,53.7,27.1,0.13,24.37,21.34,101.79,3.42
1/1/2022 15:00,1/1/2022,15:00,7.7,0,0.2,51.9,27.5,0.13,23.91,19.67,99.9,3.47
1/1/2022 16:00,1/1/2022,16:00,7.67,0,0.2,51.2,27.8,0.13,23.78,18.01,99.38,3.34
1/1/2022 17:00,1/1/2022,17:00,7.66,0,0.2,49.8,28.1,0.14,23.61,17.94,98.68,3.31
1/1/2022 18:00,1/1/2022,18:00,7.66,0,0.2,49.8,28.2,0.15,23.49,17.21,98.2,3.32
1/1/2022 19:00,1/1/2022,19:00,7.65,0,0.2,48.3,28.3,0.16,20.37,11.2,85.4,3.35
1/1/2022 20:00,1/1/2022,20:00,7.64,0,0.2,47.4,28.3,0.16,19.43,8.15,81.56,3.41
1/1/2022 21:00,1/1/2022,21:00,7.63,0,0.2,46.9,28.1,0.17,19.26,6.08,80.88,3.45
1/1/2022 22:00,1/1/2022,22:00,7.62,0,0.2,46.6,27.9,0.17,19.07,3.33,80.09,3.52
1/1/2022 23:00,1/1/2022,23:00,7.62,0,0.2,46.3,27.6,0.18,18.88,3.72,79.33,3.6
1/2/2022 0:00,1/2/2022,0:00,7.63,0,0.2,45.5,27.4,0.18,18.8,1.71,78.97,3.65
1/2/2022 1:00,1/2/2022,1:00,7.65,0,0.2,45.1,27,0.18,18.71,1.25,78.63,3.7
1/2/2022 2:00,1/2/2022,2:00,7.61,0,0.2,45,26.7,0.18,18.66,0.8,78.43,3.79
1/2/2022 3:00,1/2/2022,3:00,7.6,0,0.2,45.2,26.3,0.19,18.6,0.3,78.17,3.8
1/2/2022 4:00,1/2/2022,4:00,7.6,0,0.2,44.7,26,0.19,18.53,0.26,77.89,3.89
1/2/2022 5:00,1/2/2022,5:00,7.61,0,0.2,44.9,25.6,0.19,18.61,0,78.19,3.91
1/2/2022 6:00,1/2/2022,6:00,7.6,0,0.2,45.1,25.2,0.19,18.57,0.32,78.06,3.98
1/2/2022 7:00,1/2/2022,7:00,7.61,0,0.2,44.8,24.9,0.19,18.49,1.1,77.73,4.01
1/2/2022 8:00,1/2/2022,8:00,7.63,0,0.2,45.4,24.7,0.2,18.48,0,77.68,4.02
1/2/2022 9:00,1/2/2022,9:00,7.62,0,0.2,45.2,24.7,0.19,18.47,0,77.62,4.13
1/2/2022 10:00,1/2/2022,10:00,7.62,0,0.2,44.6,24.8,0.2,18.57,1.12,78.04,4.15
1/2/2022 11:00,1/2/2022,11:00,8.53,2.47,0.3,10.4,26.6,0.02,0,75.14,0,7.47
1/2/2022 12:00,1/2/2022,12:00,7.84,0.07,0.4,29.3,30.8,0.2,41.28,29.19,171.02,4.92
1/2/2022 13:00,1/2/2022,13:00,7.87,0.01,0.4,41,31.6,0.22,44.34,50.26,183.55,5.17
1/2/2022 14:00,1/2/2022,14:00,7.85,0.03,0.4,26.2,32,0.22,44.74,21.21,185.16,5.22
1/2/2022 15:00,1/2/2022,15:00,7.84,0.02,0.4,21,31.6,0.2,42.07,16.28,174.26,4.86
1/2/2022 16:00,1/2/2022,16:00,7.82,0.02,0.4,19,31.7,0.25,47.39,15.3,196.04,4.94
1/2/2022 17:00,1/2/2022,17:00,7.8,0.02,0.3,33.5,29.8,0.18,31.32,33.77,130.25,4.3
1/2/2022 18:00,1/2/2022,18:00,7.6,0.02,0.3,40.6,29.3,0.11,31.9,43.9,132.61,3.79
1/2/2022 19:00,1/2/2022,19:00,7.56,0.04,0.3,40.5,29.1,0.08,33.2,43.06,137.93,3.89
1/2/2022 20:00,1/2/2022,20:00,7.63,0.01,0.3,44.8,29.4,0.15,38.85,50.81,161.05,4.96
1/2/2022 21:00,1/2/2022,21:00,7.7,0.01,0.3,44.4,29.5,0.17,40.25,49.75,166.78,4.85
1/2/2022 22:00,1/2/2022,22:00,7.74,0.01,0.4,52.2,29.6,0.22,46.91,69.43,194.05,5.13
1/2/2022 23:00,1/2/2022,23:00,7.75,0.02,0.4,43.4,29.6,0.21,44.9,43.18,185.86,5.08
1/3/2022 0:00,1/3/2022,0:00,7.76,0.03,0.4,34.7,29.6,0.21,46.19,34.65,191.14,4.94
1/3/2022 1:00,1/3/2022,1:00,7.8,0.02,0.4,29.4,30,0.25,52.09,25.94,215.28,5.24
1/3/2022 2:00,1/3/2022,2:00,7.8,0.05,0.4,24.5,30.1,0.24,51.83,16.56,214.21,5.22
1/3/2022 3:00,1/3/2022,3:00,7.79,0.06,0.4,23.3,29.9,0.23,49.08,13.57,202.93,5.26
1/3/2022 4:00,1/3/2022,4:00,7.8,0.06,0.4,22.5,29.8,0.24,49.5,14.13,204.68,5.49
1/3/2022 5:00,1/3/2022,5:00,7.8,0.1,0.4,21.2,29.7,0.24,49.91,10.98,206.36,5.73
1/3/2022 6:00,1/3/2022,6:00,7.81,0.08,0.4,22.3,29.4,0.21,45.43,11.82,188.01,4.97
1/3/2022 7:00,1/3/2022,7:00,7.78,0.07,0.4,21.9,29.4,0.22,45.11,10.97,186.67,4.56
1/3/2022 8:00,1/3/2022,8:00,7.79,0.04,0.4,21.1,29.7,0.23,46.36,10.92,191.81,5.3
1/3/2022 9:00,1/3/2022,9:00,7.79,0.05,0.4,21.9,30.2,0.26,49.04,12.46,202.79,5.54
1/3/2022 10:00,1/3/2022,10:00,7.82,0.06,0.4,21.5,30.5,0.27,45.13,10.36,186.78,5
1/3/2022 11:00,1/3/2022,11:00,7.79,0.06,0.4,21.7,31.1,0.25,44.64,10.05,184.78,4.93
1/3/2022 12:00,1/3/2022,12:00,7.71,0.06,0.4,22.8,31.9,0.25,45.74,14.94,189.26,5.59
1/3/2022 13:00,1/3/2022,13:00,7.81,0.03,0.4,21,32.2,0.23,41.83,10.24,173.25,4.74
1/3/2022 14:00,1/3/2022,14:00,7.81,0.03,0.4,20.8,32,0.23,43.61,11.17,180.54,5.64
1/3/2022 15:00,1/3/2022,15:00,7.82,0.04,0.4,19.9,32.1,0.25,46.81,10.04,193.63,5.66
1/3/2022 16:00,1/3/2022,16:00,7.83,0.03,0.4,20.1,31.8,0.22,44.07,9.56,182.43,4.87
1/3/2022 17:00,1/3/2022,17:00,7.86,0.03,0.5,21,31.9,0.29,49.8,11.99,205.9,6.15
1/3/2022 18:00,1/3/2022,18:00,7.84,0.04,0.5,20.3,31.9,0.31,51.61,13.74,213.32,6.16
1/3/2022 19:00,1/3/2022,19:00,7.86,0.06,0.5,20.8,31.7,0.28,49.53,10.75,204.8,5.24
1/3/2022 20:00,1/3/2022,20:00,7.85,0.03,0.4,21,31.5,0.29,49.04,9.62,202.78,4.88
1/3/2022 21:00,1/3/2022,21:00,7.84,0.03,0.4,21.1,31.1,0.27,47.78,8.19,197.63,5.1
1/3/2022 22:00,1/3/2022,22:00,7.82,0.02,0.4,20.5,31.1,0.29,50.06,7.42,206.94,6.21
1/3/2022 23:00,1/3/2022,23:00,7.8,0.02,0.4,19.9,31.1,0.28,51.34,6.67,212.18,5.9
1/4/2022 0:00,1/4/2022,0:00,7.83,0.03,0.5,20.8,31,0.3,52.11,8.03,215.37,6.31
1/4/2022 1:00,1/4/2022,1:00,7.84,0.03,0.5,22.8,30.9,0.3,52.08,9.4,215.24,6.71
1/4/2022 2:00,1/4/2022,2:00,7.84,0.03,0.5,22,30.7,0.28,50.41,8.06,208.38,6.51
1/4/2022 3:00,1/4/2022,3:00,7.82,0.04,0.5,21.4,30.7,0.26,50.39,7.57,208.33,7.02
1/4/2022 4:00,1/4/2022,4:00,7.85,0.06,0.5,21.3,30.6,0.26,48.78,7.61,201.72,6.45
1/4/2022 5:00,1/4/2022,5:00,7.83,0.05,0.4,22.7,29.8,0.21,43.95,7.17,181.95,6.42
1/4/2022 6:00,1/4/2022,6:00,7.84,0.05,0.4,22.3,29.8,0.19,43.29,8.23,179.23,5.92
1/4/2022 7:00,1/4/2022,7:00,7.83,0.06,0.4,22.4,30,0.21,44.22,8.55,183.06,7.18
1/4/2022 8:00,1/4/2022,8:00,7.82,0.04,0.4,22.9,29.8,0.18,40.37,7.47,167.28,6.42
1/4/2022 9:00,1/4/2022,9:00,7.8,0.1,0.5,21.6,30.5,0.22,46.45,7.91,192.19,7.32
1/4/2022 10:00,1/4/2022,10:00,7.78,0.07,0.5,22.8,31,0.23,45.78,8.23,189.43,7.63
1/4/2022 11:00,1/4/2022,11:00,7.82,0.08,0.5,22.8,31.6,0.24,46.24,8.75,191.3,7.53
1/4/2022 12:00,1/4/2022,12:00,7.85,0.09,0.5,23.4,32.2,0.26,45.42,9.93,187.96,6.66
1/4/2022 13:00,1/4/2022,13:00,7.87,0.09,0.4,24.2,32.6,0.27,45.54,9.22,188.44,6.9
1/4/2022 14:00,1/4/2022,14:00,7.87,0.07,0.4,24.9,32.9,0.27,45.64,8.91,188.84,7.75
1/4/2022 15:00,1/4/2022,15:00,7.89,0.09,0.4,24.2,32.4,0.25,44.25,8.23,183.18,6.32
1/4/2022 16:00,1/4/2022,16:00,7.88,0.07,0.4,24,32.2,0.23,43.69,8.1,180.86,6.19
1/4/2022 17:00,1/4/2022,17:00,7.85,0.05,0.4,24.4,32,0.23,44.81,9.28,185.45,7.23
1/4/2022 18:00,1/4/2022,18:00,7.84,0.05,0.4,24.2,32,0.24,46.18,8.43,191.07,7.3
1/4/2022 19:00,1/4/2022,19:00,7.83,0.04,0.4,24.1,31.8,0.24,46.85,7.55,193.84,7.37
1/4/2022 20:00,1/4/2022,20:00,7.84,0.06,0.4,24.8,31.5,0.23,45.63,7.05,188.83,6.56
1/4/2022 21:00,1/4/2022,21:00,7.85,0.05,0.4,26.7,31,0.25,44.53,9.65,184.34,6.23
1/4/2022 22:00,1/4/2022,22:00,7.84,0.06,0.4,27.9,30.6,0.21,41.6,9.31,172.34,6.75
